Date,Product,Channel,Type of product,Product category,Sub industry,Industry,Generic product type,Pack size number,"Quantity per unit [mL,g,units]",Total quantity,"Unit of measurement [mL,g,units]", Price per unit SAR ,Source,Link,Company,Ecofriendly,Rating,Number of ratings,Popularity (Rating * Number of ratings),Price per unit USD,"Price per mL 
(0 for units)",Price per liter USD (0 for units),Price per liter SAR (0 for units)
10/11/2022,CH2200 Callington Aircraft Interior Cleaner 500 mL,B2B,A1-Cabin surface cleaner,Aviation - 1. Aircraft interior cleaners,Aviation,Transportation,General purpose cleaner,1,500,500,mL, SAR 16.00 ,,https://www.e-aircraftsupply.com/products/Aircraft-Interior-Cleaner/6702834/2200--CH2200-Aircraft-Interior-Cleaner-5oz,Callington,Toxic,,,,4.266666667,0.009,8.5,32.0
31/01/2024,Cee-Bee A-952 Aircraft CIC Removal Solvent,B2B,A11-Aircraft corrosion inhitor compound removal solvent,Aviation - 11. Solvent cleaners,Aviation,Transportation,Corrosion inhitor compound remover,1,200000,200000,mL," SAR 13,125.00 ",,https://www.cee-bee.com/product/cee-bee-a-952/,McGean,Toxic,,,,3500,0.018,17.5,65.6
18/01/2024,"Generic Ma -Fra Car Wash Shampoo & Wax 3Plus Effects (Protects, Polishes & Quick Dry) 1 Liter",E-commerce,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1000,1000,mL, SAR 121.00 ,Carrefour,https://www.carrefourksa.com/mafsau/en/cleaning-liquid/generic-ma-fra-car-wash-shampoo-wax-3plus-effects-protects-polishes-quick-dry-1-liter/p/MZ2WC39N03085?list_name=category%7CNFKSA2302030&offer=offer_1045211321,Generic,Toxic,,,,32.26666667,0.032,32.3,121.0
18/01/2024,Car Shampoo,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1000,1000,mL, SAR 45.00 ,Saco,,,Toxic ,,,,12,0.012,12.0,45.0
18/01/2024,Car wash & wax,Retail,C1-Waterless car wash product,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle dry wash exterior cleaner,1,3790,3790,mL, SAR 55.75 ,Saco,,TurtleWax,Toxic ,,,,14.86666667,0.004,3.9,14.7
18/01/2024,Car wash & wax,Retail,C1-Waterless car wash product,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle dry wash exterior cleaner,1,3790,3790,mL, SAR 65.75 ,Saco,,TurtleWax,Toxic ,,,,17.53333333,0.005,4.6,17.3
18/01/2024,Max Power Car wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,2950,2950,mL, SAR 68.00 ,Saco,,TurtleWax,Toxic ,,,,18.13333333,0.006,6.1,23.1
18/01/2024,Car Wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,2000,2000,mL, SAR 66.00 ,Saco,,SimpleGreen,Toxic ,,,,17.6,0.009,8.8,33.0
18/01/2024,Car Wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1890,1890,mL, SAR 60.00 ,Saco,,ArmolAll,Toxic ,,,,16,0.008,8.5,31.7
18/01/2024,Car Wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1890,1890,mL, SAR 80.00 ,Saco,,Meguiar's,Toxic ,,,,21.33333333,0.011,11.3,42.3
18/01/2024,High Foam Car Wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1890,1890,mL, SAR 55.00 ,Bani Malik Street Jeddah,,Blue Coral,Toxic ,,,,14.66666667,0.008,7.8,29.1
18/01/2024,Wet shine Car wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1890,1890,mL, SAR 55.00 ,Bani Malik Street Jeddah,,Black Magic,Toxic ,,,,14.66666667,0.008,7.8,29.1
18/01/2024,Ultra shine Car wash,Retail,C1-Car wash shampoo,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle wet wash shampoo,1,1890,1890,mL, SAR 55.00 ,Bani Malik Street Jeddah,,Armol All,Toxic ,,,,14.66666667,0.008,7.8,29.1
18/01/2024,Wash & Wax,Retail,C1-Waterless car wash product,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle dry wash exterior cleaner,1,1900,1900,mL, SAR 80.00 ,Saco,,Fornula 1,Toxic ,,,,21.33333333,0.011,11.2,42.1
18/01/2024,Zipwax Car wash & Wax,Retail,C1-Waterless car wash product,Automotive - 1. Car wash soaps and shampoos,Automotive,Transportation,Vehicle dry wash exterior cleaner,1,1890,1890,mL, SAR 40.00 ,Saco,,Turtle Wax,Toxic ,,,,10.66666667,0.006,5.6,21.2
18/01/2024,Meguiars Quik Interior Detailer,E-commerce,C4-Car upholstery cleaner,Automotive - 4. Car interior cleaners,Automotive,Transportation,Upholstery cleaner,1,473,473,mL, SAR 79.00 ,Amazon SA,https://www.amazon.sa/-/en/Meguiars-G-13616-Quik-Interior-Detailer/dp/B000AMLWH8/ref=asc_df_B000AMLWH8/?tag=sashogostdsp-21&linkCode=df0&hvadid=453164435461&hvpos=&hvnetw=g&hvrand=8143519234214929548&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=21457&hvtargid=pla-385032720238&psc=1&mcid=acd546bf92143a59aad8fbf5a48f99e7,Meguiars,Toxic,,,,21.06666667,0.045,44.5,167.0
18/01/2024,Meguiar's Heavy Duty Bug and Tar Remover 15oz,E-commerce,C5-Car bug and poop remover,Automotive - 5. Car wax and detailing,Automotive,Transportation,Bug remover,1,443,443,mL, SAR 60.00 ,SACO,https://www.saco.sa/en/Meguiar's-Heavy-Duty-Bug-and-Tar-Remover-15oz/p/000000000000063592?gclid=Cj0KCQiA2KitBhCIARIsAPPMEhIjs_rUJ5lALPO9x-rnC283C9-xFVUPRzhowZb59EoXgT9XsT4eWdIaAvECEALw_wcB,AEROSOL,Toxic,,,,16,0.036,36.1,135.4
18/01/2024,Waterless Wheel  & Tire,Retail,C2-Wheel cleaner,Automotive - 2. Wheel and tire cleaners,Automotive,Transportation,Degreaser,1,1000,1000,mL, SAR 92.00 ,Saco,,Meguiar's,Toxic ,,,,24.53333333,0.025,24.5,92.0
31/03/2024,Tire Foam,Retail,C2-Tire foam,Automotive - 2. Wheel and tire cleaners,Automotive,Transportation,Degreaser,1,650,650,mL, SAR 25.00 ,Bani Malik Street Jeddah,,Sword Pro,Toxic ,,,,6.666666667,0.010,10.3,38.5
